2021-04-05 13:28:44,111 :: plutusLogger | INFO | Adding index: inflation_index
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 1 is: 1.0020833333333334
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 2 is: 1.0041666666666669
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 3 is: 1.0062500000000003
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 4 is: 1.0083333333333337
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 5 is: 1.0104166666666672
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 6 is: 1.0125000000000006
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 7 is: 1.014583333333334
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 8 is: 1.0166666666666675
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 9 is: 1.018750000000001
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 10 is: 1.0208333333333344
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 11 is: 1.0229166666666678
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 12 is: 1.0250000000000012
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 13 is: 1.0270833333333347
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 14 is: 1.0291666666666681
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 15 is: 1.0312500000000016
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 16 is: 1.033333333333335
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 17 is: 1.0354166666666684
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 18 is: 1.0375000000000019
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 19 is: 1.0395833333333353
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 20 is: 1.0416666666666687
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 21 is: 1.0437500000000022
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 22 is: 1.0458333333333356
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 23 is: 1.047916666666669
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 24 is: 1.0500000000000025
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 25 is: 1.052083333333336
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 26 is: 1.0541666666666694
2021-04-05 13:28:44,112 :: plutusLogger | DEBUG | The value of inflation_index index at step 27 is: 1.0562500000000028
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 28 is: 1.0583333333333362
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 29 is: 1.0604166666666697
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 30 is: 1.062500000000003
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 31 is: 1.0645833333333365
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 32 is: 1.06666666666667
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 33 is: 1.0687500000000034
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 34 is: 1.0708333333333369
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 35 is: 1.0729166666666703
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 36 is: 1.0750000000000037
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 37 is: 1.0770833333333372
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 38 is: 1.0791666666666706
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 39 is: 1.081250000000004
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 40 is: 1.0833333333333375
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 41 is: 1.085416666666671
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 42 is: 1.0875000000000044
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 43 is: 1.0895833333333378
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 44 is: 1.0916666666666712
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 45 is: 1.0937500000000047
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 46 is: 1.095833333333338
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 47 is: 1.0979166666666715
2021-04-05 13:28:44,113 :: plutusLogger | DEBUG | The value of inflation_index index at step 48 is: 1.100000000000005
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of inflation_index index at step 49 is: 1.1020833333333384
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of inflation_index index at step 50 is: 1.1041666666666718
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of inflation_index index at step 51 is: 1.1062500000000053
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of inflation_index index at step 52 is: 1.1083333333333387
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of inflation_index index at step 53 is: 1.1104166666666722
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of inflation_index index at step 54 is: 1.1125000000000056
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of inflation_index index at step 55 is: 1.114583333333339
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of inflation_index index at step 56 is: 1.1166666666666725
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of inflation_index index at step 57 is: 1.118750000000006
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of inflation_index index at step 58 is: 1.1208333333333393
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of inflation_index index at step 59 is: 1.1229166666666728
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of inflation_index index at step 60 is: 1.1250000000000062
2021-04-05 13:28:44,114 :: plutusLogger | INFO | Adding index: real_estate_index
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of real_estate_index index at step 1 is: 1.0083333333333333
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of real_estate_index index at step 2 is: 1.0166666666666666
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of real_estate_index index at step 3 is: 1.025
2021-04-05 13:28:44,114 :: plutusLogger | DEBUG | The value of real_estate_index index at step 4 is: 1.0333333333333332
2021-04-05 13:28:44,115 :: plutusLogger | DEBUG | The value of real_estate_index index at step 5 is: 1.0416666666666665
2021-04-05 13:28:44,115 :: plutusLogger | DEBUG | The value of real_estate_index index at step 6 is: 1.0499999999999998
2021-04-05 13:28:44,115 :: plutusLogger | DEBUG | The value of real_estate_index index at step 7 is: 1.0583333333333331
2021-04-05 13:28:44,115 :: plutusLogger | DEBUG | The value of real_estate_index index at step 8 is: 1.0666666666666664
2021-04-05 13:28:44,115 :: plutusLogger | DEBUG | The value of real_estate_index index at step 9 is: 1.0749999999999997
2021-04-05 13:28:44,115 :: plutusLogger | DEBUG | The value of real_estate_index index at step 10 is: 1.083333333333333
2021-04-05 13:28:44,115 :: plutusLogger | DEBUG | The value of real_estate_index index at step 11 is: 1.0916666666666663
2021-04-05 13:28:44,115 :: plutusLogger | DEBUG | The value of real_estate_index index at step 12 is: 1.0999999999999996
2021-04-05 13:28:44,115 :: plutusLogger | DEBUG | The value of real_estate_index index at step 13 is: 1.108333333333333
2021-04-05 13:28:44,115 :: plutusLogger | DEBUG | The value of real_estate_index index at step 14 is: 1.1166666666666663
2021-04-05 13:28:44,115 :: plutusLogger | DEBUG | The value of real_estate_index index at step 15 is: 1.1249999999999996
2021-04-05 13:28:44,115 :: plutusLogger | DEBUG | The value of real_estate_index index at step 16 is: 1.1333333333333329
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 17 is: 1.1416666666666662
